matrikelnummer,firstname,name,projects,negatives,skill,programing_skills
484,Firstname,Name,"['Projekt 37', 'Projekt 21', 'Projekt 50']","['Projekt 55', 'Projekt 45']",Schreiben,"{""C#"":""Experte"",""Java"":""Anfänger"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Experte"",""JavaScript"":""Anfänger"",""PHP"":""Experte""}"
485,Firstname,Name,"['Projekt 23', 'Projekt 47', 'Projekt 59']","['Projekt 28', 'Projekt 57']",Programmieren,"{""C"":""Fortgeschritten"",""Java"":""Fortgeschritten"",""Python"":""Experte"",""JavaScript"":""Anfänger"",""PHP"":""Experte""}"
486,Firstname,Name,"['Projekt 42', 'Projekt 9', 'Projekt 29']","['Projekt 16', 'Projekt 17']",Schreiben,"{""C++"":""Experte"",""C#"":""Anfänger"",""Java"":""Anfänger"",""HTML/CSS"":""Anfänger"",""Python"":""Anfänger"",""PHP"":""Fortgeschritten""}"
487,Firstname,Name,"['Projekt 29', 'Projekt 20', 'Projekt 7']","['Projekt 38', 'Projekt 25']",Programmieren,"{""C++"":""Experte"",""C#"":""Anfänger"",""Java"":""Experte"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Anfänger"",""JavaScript"":""Experte"",""PHP"":""Anfänger""}"
488,Firstname,Name,"['Projekt 51', 'Projekt 13', 'Projekt 56']","['Projekt 27', 'Projekt 33']",Programmieren,"{""C"":""Experte"",""C#"":""Experte"",""HTML/CSS"":""Anfänger"",""JavaScript"":""Fortgeschritten""}"
489,Firstname,Name,"['Projekt 6', 'Projekt 59', 'Projekt 21']","['Projekt 44', 'Projekt 26']",Programmieren,"{""C"":""Anfänger"",""C++"":""Fortgeschritten"",""C#"":""Experte"",""Java"":""Fortgeschritten"",""Python"":""Anfänger"",""JavaScript"":""Fortgeschritten"",""PHP"":""Anfänger""}"
490,Firstname,Name,"['Projekt 18', 'Projekt 12', 'Projekt 6']","['Projekt 5', 'Projekt 28']",Schreiben,"{""C"":""Fortgeschritten"",""C++"":""Experte"",""C#"":""Experte"",""JavaScript"":""Anfänger"",""PHP"":""Anfänger""}"
491,Firstname,Name,"['Projekt 54', 'Projekt 6', 'Projekt 20']","['Projekt 30', 'Projekt 39']",Programmieren,"{""C"":""Fortgeschritten"",""C++"":""Experte"",""C#"":""Experte"",""Java"":""Fortgeschritten"",""Python"":""Fortgeschritten"",""JavaScript"":""Experte"",""PHP"":""Fortgeschritten""}"
492,Firstname,Name,"['Projekt 6', 'Projekt 49', 'Projekt 41']","['Projekt 22', 'Projekt 8']",Programmieren,"{""C"":""Experte"",""C++"":""Experte"",""C#"":""Experte"",""Java"":""Anfänger"",""HTML/CSS"":""Anfänger"",""Python"":""Experte"",""JavaScript"":""Anfänger"",""PHP"":""Experte""}"
493,Firstname,Name,"['Projekt 22', 'Projekt 20', 'Projekt 48']","['Projekt 54', 'Projekt 0']",Schreiben,"{""C"":""Anfänger"",""C++"":""Fortgeschritten"",""C#"":""Anfänger"",""Java"":""Experte"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Fortgeschritten"",""JavaScript"":""Experte"",""PHP"":""Anfänger""}"
494,Firstname,Name,"['Projekt 35', 'Projekt 38', 'Projekt 5']","['Projekt 59', 'Projekt 57']",Programmieren,"{""C"":""Anfänger"",""C++"":""Experte"",""C#"":""Experte"",""Java"":""Experte"",""Python"":""Anfänger"",""PHP"":""Experte""}"
495,Firstname,Name,"['Projekt 13', 'Projekt 34', 'Projekt 5']","['Projekt 55', 'Projekt 26']",Schreiben,"{""Java"":""Anfänger"",""HTML/CSS"":""Experte"",""Python"":""Experte"",""JavaScript"":""Anfänger""}"
496,Firstname,Name,"['Projekt 27', 'Projekt 2', 'Projekt 55']","['Projekt 29', 'Projekt 15']",Schreiben,"{""C"":""Anfänger"",""C++"":""Experte"",""C#"":""Anfänger"",""Java"":""Experte"",""HTML/CSS"":""Experte"",""Python"":""Experte"",""JavaScript"":""Experte""}"
497,Firstname,Name,"['Projekt 15', 'Projekt 16', 'Projekt 48']","['Projekt 40', 'Projekt 27']",Programmieren,"{""C"":""Anfänger"",""C++"":""Experte"",""C#"":""Experte"",""Java"":""Anfänger"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Anfänger"",""JavaScript"":""Experte"",""PHP"":""Fortgeschritten""}"
498,Firstname,Name,"['Projekt 28', 'Projekt 12', 'Projekt 6']","['Projekt 19', 'Projekt 49']",Programmieren,"{""C++"":""Experte"",""Java"":""Experte"",""HTML/CSS"":""Fortgeschritten"",""JavaScript"":""Anfänger"",""PHP"":""Fortgeschritten""}"
499,Firstname,Name,"['Projekt 27', 'Projekt 34', 'Projekt 26']","['Projekt 16', 'Projekt 43']",Programmieren,"{""C"":""Fortgeschritten"",""C++"":""Experte"",""C#"":""Experte"",""Java"":""Anfänger"",""HTML/CSS"":""Fortgeschritten"",""PHP"":""Anfänger""}"
500,Firstname,Name,"['Projekt 40', 'Projekt 51', 'Projekt 1']","['Projekt 55', 'Projekt 56']",Programmieren,"{""C"":""Fortgeschritten"",""C++"":""Experte"",""C#"":""Anfänger"",""Java"":""Experte"",""HTML/CSS"":""Anfänger"",""JavaScript"":""Fortgeschritten"",""PHP"":""Experte""}"
501,Firstname,Name,"['Projekt 11', 'Projekt 45', 'Projekt 36']","['Projekt 17', 'Projekt 6']",Schreiben,"{""C"":""Anfänger"",""C++"":""Experte"",""C#"":""Anfänger"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Experte"",""Python"":""Experte"",""JavaScript"":""Fortgeschritten"",""PHP"":""Experte""}"
502,Firstname,Name,"['Projekt 53', 'Projekt 32', 'Projekt 8']","['Projekt 33', 'Projekt 6']",Programmieren,"{""C++"":""Experte"",""C#"":""Experte"",""Java"":""Experte"",""HTML/CSS"":""Anfänger"",""JavaScript"":""Fortgeschritten""}"
503,Firstname,Name,"['Projekt 51', 'Projekt 54', 'Projekt 56']","['Projekt 40', 'Projekt 59']",Schreiben,"{""C++"":""Experte"",""C#"":""Experte"",""HTML/CSS"":""Experte"",""Python"":""Experte"",""PHP"":""Fortgeschritten""}"
504,Firstname,Name,"['Projekt 58', 'Projekt 55', 'Projekt 2']","['Projekt 3', 'Projekt 49']",Programmieren,"{""C#"":""Fortgeschritten"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Anfänger"",""JavaScript"":""Experte"",""PHP"":""Fortgeschritten""}"
505,Firstname,Name,"['Projekt 31', 'Projekt 47', 'Projekt 57']","['Projekt 0', 'Projekt 40']",Schreiben,"{""C"":""Anfänger"",""C++"":""Fortgeschritten"",""C#"":""Anfänger"",""Python"":""Experte"",""JavaScript"":""Fortgeschritten"",""PHP"":""Experte""}"
506,Firstname,Name,"['Projekt 36', 'Projekt 10', 'Projekt 42']","['Projekt 35', 'Projekt 39']",Schreiben,"{""C"":""Anfänger"",""C++"":""Anfänger"",""C#"":""Fortgeschritten"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Experte"",""Python"":""Experte"",""JavaScript"":""Anfänger"",""PHP"":""Anfänger""}"
507,Firstname,Name,"['Projekt 22', 'Projekt 4', 'Projekt 16']","['Projekt 21', 'Projekt 38']",Schreiben,"{""C++"":""Experte"",""C#"":""Anfänger"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Anfänger"",""Python"":""Anfänger""}"
508,Firstname,Name,"['Projekt 35', 'Projekt 36', 'Projekt 13']","['Projekt 9', 'Projekt 45']",Schreiben,"{""C"":""Anfänger"",""C++"":""Experte"",""C#"":""Anfänger"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Experte"",""JavaScript"":""Anfänger"",""PHP"":""Fortgeschritten""}"
509,Firstname,Name,"['Projekt 7', 'Projekt 44', 'Projekt 11']","['Projekt 21', 'Projekt 40']",Schreiben,"{""C"":""Experte"",""C++"":""Anfänger"",""C#"":""Fortgeschritten"",""Java"":""Experte"",""HTML/CSS"":""Anfänger"",""Python"":""Anfänger"",""JavaScript"":""Experte""}"
510,Firstname,Name,"['Projekt 12', 'Projekt 50', 'Projekt 10']","['Projekt 54', 'Projekt 31']",Programmieren,"{""C#"":""Experte"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Anfänger"",""Python"":""Anfänger"",""PHP"":""Fortgeschritten""}"
511,Firstname,Name,"['Projekt 31', 'Projekt 45', 'Projekt 40']","['Projekt 41', 'Projekt 13']",Programmieren,"{""C"":""Fortgeschritten"",""C#"":""Experte"",""Java"":""Experte"",""HTML/CSS"":""Fortgeschritten"",""PHP"":""Anfänger""}"
512,Firstname,Name,"['Projekt 43', 'Projekt 26', 'Projekt 48']","['Projekt 32', 'Projekt 18']",Schreiben,"{""C#"":""Anfänger"",""Java"":""Anfänger"",""JavaScript"":""Experte"",""PHP"":""Anfänger""}"
513,Firstname,Name,"['Projekt 47', 'Projekt 13', 'Projekt 51']","['Projekt 4', 'Projekt 36']",Schreiben,"{""C++"":""Experte"",""C#"":""Fortgeschritten"",""Java"":""Anfänger"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Anfänger"",""PHP"":""Anfänger""}"
514,Firstname,Name,"['Projekt 43', 'Projekt 21', 'Projekt 20']","['Projekt 1', 'Projekt 55']",Schreiben,"{""C"":""Anfänger"",""C#"":""Anfänger"",""Python"":""Anfänger"",""JavaScript"":""Experte"",""PHP"":""Fortgeschritten""}"
515,Firstname,Name,"['Projekt 51', 'Projekt 20', 'Projekt 35']","['Projekt 8', 'Projekt 10']",Programmieren,"{""C"":""Fortgeschritten"",""HTML/CSS"":""Anfänger"",""Python"":""Experte"",""JavaScript"":""Experte"",""PHP"":""Anfänger""}"
516,Firstname,Name,"['Projekt 41', 'Projekt 24', 'Projekt 12']","['Projekt 23', 'Projekt 55']",Schreiben,"{""C"":""Fortgeschritten"",""C++"":""Experte"",""C#"":""Experte"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Experte"",""PHP"":""Experte""}"
517,Firstname,Name,"['Projekt 46', 'Projekt 33', 'Projekt 7']","['Projekt 48', 'Projekt 35']",Schreiben,"{""C"":""Experte"",""C++"":""Fortgeschritten"",""C#"":""Experte"",""Python"":""Fortgeschritten"",""PHP"":""Fortgeschritten""}"
518,Firstname,Name,"['Projekt 59', 'Projekt 17', 'Projekt 7']","['Projekt 5', 'Projekt 19']",Schreiben,"{""C"":""Anfänger"",""C++"":""Anfänger"",""C#"":""Anfänger"",""Java"":""Fortgeschritten"",""Python"":""Experte"",""JavaScript"":""Anfänger""}"
519,Firstname,Name,"['Projekt 1', 'Projekt 35', 'Projekt 22']","['Projekt 42', 'Projekt 27']",Programmieren,"{""C"":""Anfänger"",""C#"":""Fortgeschritten"",""Java"":""Experte"",""HTML/CSS"":""Experte"",""Python"":""Anfänger"",""JavaScript"":""Fortgeschritten"",""PHP"":""Experte""}"
520,Firstname,Name,"['Projekt 3', 'Projekt 37', 'Projekt 24']","['Projekt 11', 'Projekt 47']",Schreiben,"{""C"":""Anfänger"",""C++"":""Anfänger"",""C#"":""Experte"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Experte"",""Python"":""Experte"",""JavaScript"":""Experte"",""PHP"":""Experte""}"
521,Firstname,Name,"['Projekt 4', 'Projekt 10', 'Projekt 43']","['Projekt 1', 'Projekt 53']",Programmieren,"{""C"":""Anfänger"",""C++"":""Anfänger"",""C#"":""Anfänger"",""HTML/CSS"":""Experte"",""JavaScript"":""Fortgeschritten"",""PHP"":""Anfänger""}"
522,Firstname,Name,"['Projekt 17', 'Projekt 58', 'Projekt 23']","['Projekt 13', 'Projekt 30']",Programmieren,"{""C"":""Experte"",""C++"":""Fortgeschritten"",""Java"":""Anfänger"",""HTML/CSS"":""Anfänger"",""Python"":""Fortgeschritten"",""JavaScript"":""Anfänger"",""PHP"":""Anfänger""}"
523,Firstname,Name,"['Projekt 36', 'Projekt 0', 'Projekt 18']","['Projekt 27', 'Projekt 19']",Schreiben,"{""C"":""Experte"",""C++"":""Experte"",""C#"":""Anfänger"",""Java"":""Fortgeschritten"",""Python"":""Anfänger"",""JavaScript"":""Fortgeschritten"",""PHP"":""Anfänger""}"
524,Firstname,Name,"['Projekt 14', 'Projekt 28', 'Projekt 52']","['Projekt 51', 'Projekt 38']",Programmieren,"{""C"":""Anfänger"",""C++"":""Experte"",""C#"":""Experte"",""Python"":""Experte"",""JavaScript"":""Experte""}"
525,Firstname,Name,"['Projekt 34', 'Projekt 23', 'Projekt 24']","['Projekt 30', 'Projekt 18']",Schreiben,"{""C"":""Experte"",""C++"":""Anfänger"",""C#"":""Experte"",""HTML/CSS"":""Anfänger"",""Python"":""Experte"",""JavaScript"":""Fortgeschritten"",""PHP"":""Fortgeschritten""}"
526,Firstname,Name,"['Projekt 0', 'Projekt 42', 'Projekt 51']","['Projekt 46', 'Projekt 16']",Programmieren,"{""C"":""Fortgeschritten"",""C++"":""Anfänger"",""C#"":""Anfänger"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Experte"",""Python"":""Fortgeschritten"",""JavaScript"":""Fortgeschritten""}"
527,Firstname,Name,"['Projekt 46', 'Projekt 27', 'Projekt 23']","['Projekt 47', 'Projekt 52']",Programmieren,"{""C"":""Fortgeschritten"",""C++"":""Fortgeschritten"",""C#"":""Fortgeschritten"",""Python"":""Anfänger"",""JavaScript"":""Anfänger"",""PHP"":""Fortgeschritten""}"
528,Firstname,Name,"['Projekt 20', 'Projekt 58', 'Projekt 27']","['Projekt 26', 'Projekt 3']",Schreiben,"{""C"":""Fortgeschritten"",""C++"":""Fortgeschritten"",""C#"":""Fortgeschritten"",""Java"":""Experte"",""JavaScript"":""Fortgeschritten"",""PHP"":""Anfänger""}"
529,Firstname,Name,"['Projekt 18', 'Projekt 14', 'Projekt 56']","['Projekt 26', 'Projekt 41']",Schreiben,"{""C"":""Fortgeschritten"",""C++"":""Fortgeschritten"",""HTML/CSS"":""Anfänger"",""Python"":""Fortgeschritten"",""JavaScript"":""Anfänger""}"
530,Firstname,Name,"['Projekt 28', 'Projekt 34', 'Projekt 36']","['Projekt 19', 'Projekt 8']",Schreiben,"{""C++"":""Experte"",""Java"":""Anfänger"",""HTML/CSS"":""Experte"",""Python"":""Fortgeschritten""}"
531,Firstname,Name,"['Projekt 23', 'Projekt 49', 'Projekt 11']","['Projekt 21', 'Projekt 20']",Schreiben,"{""C"":""Fortgeschritten"",""C#"":""Fortgeschritten"",""Java"":""Anfänger"",""HTML/CSS"":""Experte"",""Python"":""Experte"",""JavaScript"":""Anfänger"",""PHP"":""Experte""}"
532,Firstname,Name,"['Projekt 44', 'Projekt 48', 'Projekt 29']","['Projekt 41', 'Projekt 24']",Schreiben,"{""C"":""Anfänger"",""C++"":""Experte"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Experte"",""JavaScript"":""Anfänger"",""PHP"":""Anfänger""}"
533,Firstname,Name,"['Projekt 35', 'Projekt 15', 'Projekt 27']","['Projekt 30', 'Projekt 26']",Programmieren,"{""C"":""Anfänger"",""C++"":""Anfänger"",""C#"":""Fortgeschritten"",""Java"":""Anfänger"",""HTML/CSS"":""Fortgeschritten"",""JavaScript"":""Fortgeschritten""}"
534,Firstname,Name,"['Projekt 27', 'Projekt 46', 'Projekt 55']","['Projekt 23', 'Projekt 16']",Programmieren,"{""C++"":""Fortgeschritten"",""C#"":""Fortgeschritten"",""Java"":""Experte"",""HTML/CSS"":""Fortgeschritten"",""JavaScript"":""Experte"",""PHP"":""Fortgeschritten""}"
535,Firstname,Name,"['Projekt 56', 'Projekt 57', 'Projekt 45']","['Projekt 28', 'Projekt 9']",Programmieren,"{""C"":""Fortgeschritten"",""C#"":""Fortgeschritten"",""HTML/CSS"":""Fortgeschritten"",""JavaScript"":""Anfänger""}"
536,Firstname,Name,"['Projekt 58', 'Projekt 7', 'Projekt 12']","['Projekt 41', 'Projekt 4']",Schreiben,"{""C++"":""Experte"",""C#"":""Fortgeschritten"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Experte"",""Python"":""Fortgeschritten"",""JavaScript"":""Anfänger""}"
537,Firstname,Name,"['Projekt 37', 'Projekt 16', 'Projekt 32']","['Projekt 56', 'Projekt 33']",Programmieren,"{""C"":""Experte"",""C++"":""Fortgeschritten"",""Java"":""Experte"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Anfänger"",""PHP"":""Anfänger""}"
538,Firstname,Name,"['Projekt 12', 'Projekt 58', 'Projekt 21']","['Projekt 17', 'Projekt 8']",Programmieren,"{""C"":""Experte"",""C#"":""Anfänger"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Anfänger"",""Python"":""Fortgeschritten"",""JavaScript"":""Anfänger"",""PHP"":""Experte""}"
539,Firstname,Name,"['Projekt 43', 'Projekt 47', 'Projekt 35']","['Projekt 54', 'Projekt 3']",Programmieren,"{""Java"":""Anfänger"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Experte"",""JavaScript"":""Fortgeschritten"",""PHP"":""Anfänger""}"
540,Firstname,Name,"['Projekt 7', 'Projekt 19', 'Projekt 46']","['Projekt 25', 'Projekt 41']",Programmieren,"{""C"":""Fortgeschritten"",""C++"":""Anfänger"",""C#"":""Anfänger"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Experte"",""JavaScript"":""Experte"",""PHP"":""Experte""}"
541,Firstname,Name,"['Projekt 25', 'Projekt 14', 'Projekt 24']","['Projekt 5', 'Projekt 16']",Programmieren,"{""C"":""Anfänger"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Experte"",""JavaScript"":""Anfänger""}"
542,Firstname,Name,"['Projekt 0', 'Projekt 50', 'Projekt 26']","['Projekt 23', 'Projekt 40']",Schreiben,"{""C++"":""Fortgeschritten"",""C#"":""Experte"",""Java"":""Anfänger"",""HTML/CSS"":""Anfänger"",""Python"":""Fortgeschritten"",""JavaScript"":""Anfänger""}"
543,Firstname,Name,"['Projekt 2', 'Projekt 53', 'Projekt 17']","['Projekt 52', 'Projekt 33']",Programmieren,"{""C#"":""Anfänger"",""Java"":""Experte"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Experte"",""JavaScript"":""Experte"",""PHP"":""Experte""}"
544,Firstname,Name,"['Projekt 0', 'Projekt 35', 'Projekt 6']","['Projekt 17', 'Projekt 38']",Programmieren,"{""C"":""Anfänger"",""C++"":""Experte"",""C#"":""Fortgeschritten"",""Java"":""Experte"",""HTML/CSS"":""Fortgeschritten""}"
545,Firstname,Name,"['Projekt 20', 'Projekt 39', 'Projekt 58']","['Projekt 34', 'Projekt 27']",Schreiben,"{""C"":""Fortgeschritten"",""C++"":""Fortgeschritten"",""C#"":""Anfänger"",""Java"":""Anfänger"",""HTML/CSS"":""Anfänger"",""JavaScript"":""Fortgeschritten""}"
546,Firstname,Name,"['Projekt 32', 'Projekt 41', 'Projekt 14']","['Projekt 48', 'Projekt 58']",Schreiben,"{""C++"":""Fortgeschritten"",""C#"":""Fortgeschritten"",""Java"":""Experte"",""HTML/CSS"":""Experte"",""JavaScript"":""Anfänger"",""PHP"":""Anfänger""}"
547,Firstname,Name,"['Projekt 35', 'Projekt 58', 'Projekt 19']","['Projekt 22', 'Projekt 5']",Schreiben,"{""C"":""Fortgeschritten"",""C++"":""Anfänger"",""C#"":""Experte"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Experte"",""Python"":""Experte"",""JavaScript"":""Fortgeschritten"",""PHP"":""Experte""}"
548,Firstname,Name,"['Projekt 49', 'Projekt 46', 'Projekt 59']","['Projekt 31', 'Projekt 0']",Programmieren,"{""C"":""Experte"",""C++"":""Experte"",""Java"":""Experte"",""HTML/CSS"":""Anfänger"",""JavaScript"":""Experte"",""PHP"":""Anfänger""}"
549,Firstname,Name,"['Projekt 26', 'Projekt 59', 'Projekt 27']","['Projekt 58', 'Projekt 32']",Schreiben,"{""C"":""Experte"",""C++"":""Anfänger"",""C#"":""Experte"",""Java"":""Anfänger"",""Python"":""Anfänger"",""JavaScript"":""Fortgeschritten"",""PHP"":""Fortgeschritten""}"
550,Firstname,Name,"['Projekt 54', 'Projekt 35', 'Projekt 31']","['Projekt 21', 'Projekt 58']",Schreiben,"{""C"":""Experte"",""C++"":""Experte"",""C#"":""Fortgeschritten"",""Java"":""Anfänger"",""Python"":""Experte"",""JavaScript"":""Anfänger"",""PHP"":""Experte""}"
551,Firstname,Name,"['Projekt 40', 'Projekt 18', 'Projekt 16']","['Projekt 44', 'Projekt 3']",Schreiben,"{""C"":""Experte"",""C#"":""Fortgeschritten"",""Java"":""Experte"",""HTML/CSS"":""Anfänger"",""Python"":""Fortgeschritten"",""JavaScript"":""Experte"",""PHP"":""Anfänger""}"
552,Firstname,Name,"['Projekt 7', 'Projekt 41', 'Projekt 17']","['Projekt 31', 'Projekt 24']",Schreiben,"{""C"":""Experte"",""C++"":""Experte"",""C#"":""Fortgeschritten"",""Java"":""Experte"",""PHP"":""Fortgeschritten""}"
553,Firstname,Name,"['Projekt 41', 'Projekt 6', 'Projekt 53']","['Projekt 47', 'Projekt 27']",Programmieren,"{""C"":""Anfänger"",""C++"":""Fortgeschritten"",""C#"":""Experte"",""HTML/CSS"":""Experte"",""PHP"":""Fortgeschritten""}"
554,Firstname,Name,"['Projekt 23', 'Projekt 7', 'Projekt 46']","['Projekt 54', 'Projekt 21']",Programmieren,"{""C"":""Anfänger"",""C++"":""Anfänger"",""C#"":""Experte"",""Java"":""Experte"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Anfänger"",""JavaScript"":""Anfänger"",""PHP"":""Fortgeschritten""}"
555,Firstname,Name,"['Projekt 7', 'Projekt 17', 'Projekt 10']","['Projekt 21', 'Projekt 53']",Programmieren,"{""C"":""Anfänger"",""C#"":""Experte"",""Python"":""Fortgeschritten"",""JavaScript"":""Anfänger""}"
556,Firstname,Name,"['Projekt 28', 'Projekt 12', 'Projekt 11']","['Projekt 14', 'Projekt 26']",Schreiben,"{""C++"":""Anfänger"",""C#"":""Experte"",""Java"":""Experte"",""HTML/CSS"":""Anfänger"",""Python"":""Fortgeschritten"",""JavaScript"":""Experte"",""PHP"":""Experte""}"
557,Firstname,Name,"['Projekt 53', 'Projekt 32', 'Projekt 28']","['Projekt 19', 'Projekt 0']",Programmieren,"{""C"":""Anfänger"",""C++"":""Experte"",""Java"":""Fortgeschritten"",""Python"":""Fortgeschritten""}"
558,Firstname,Name,"['Projekt 47', 'Projekt 3', 'Projekt 42']","['Projekt 45', 'Projekt 57']",Schreiben,"{""C#"":""Fortgeschritten"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Anfänger"",""JavaScript"":""Experte"",""PHP"":""Experte""}"
559,Firstname,Name,"['Projekt 27', 'Projekt 15', 'Projekt 57']","['Projekt 17', 'Projekt 21']",Programmieren,"{""C++"":""Fortgeschritten"",""C#"":""Anfänger"",""Java"":""Experte"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Experte"",""JavaScript"":""Anfänger"",""PHP"":""Fortgeschritten""}"
560,Firstname,Name,"['Projekt 50', 'Projekt 36', 'Projekt 11']","['Projekt 13', 'Projekt 28']",Schreiben,"{""C"":""Experte"",""C++"":""Fortgeschritten"",""C#"":""Anfänger"",""Java"":""Fortgeschritten"",""HTML/CSS"":""Fortgeschritten"",""JavaScript"":""Fortgeschritten"",""PHP"":""Experte""}"
561,Firstname,Name,"['Projekt 11', 'Projekt 37', 'Projekt 14']","['Projekt 46', 'Projekt 26']",Programmieren,"{""C"":""Experte"",""C++"":""Fortgeschritten"",""C#"":""Experte"",""Java"":""Experte"",""Python"":""Anfänger"",""JavaScript"":""Experte"",""PHP"":""Anfänger""}"
562,Firstname,Name,"['Projekt 50', 'Projekt 16', 'Projekt 13']","['Projekt 20', 'Projekt 38']",Programmieren,"{""C"":""Anfänger"",""C++"":""Fortgeschritten"",""C#"":""Experte"",""Java"":""Anfänger"",""HTML/CSS"":""Anfänger"",""Python"":""Anfänger"",""JavaScript"":""Anfänger""}"
563,Firstname,Name,"['Projekt 38', 'Projekt 40', 'Projekt 44']","['Projekt 31', 'Projekt 53']",Programmieren,"{""C"":""Fortgeschritten"",""C++"":""Experte"",""C#"":""Anfänger"",""Java"":""Experte"",""HTML/CSS"":""Experte"",""Python"":""Anfänger"",""JavaScript"":""Fortgeschritten"",""PHP"":""Anfänger""}"
564,Firstname,Name,"['Projekt 46', 'Projekt 20', 'Projekt 16']","['Projekt 32', 'Projekt 58']",Schreiben,"{""C"":""Fortgeschritten"",""C++"":""Fortgeschritten"",""Python"":""Fortgeschritten"",""JavaScript"":""Anfänger"",""PHP"":""Fortgeschritten""}"
565,Firstname,Name,"['Projekt 33', 'Projekt 9', 'Projekt 42']","['Projekt 55', 'Projekt 47']",Programmieren,"{""C"":""Fortgeschritten"",""C++"":""Experte"",""C#"":""Fortgeschritten"",""Java"":""Fortgeschritten"",""Python"":""Experte"",""JavaScript"":""Anfänger"",""PHP"":""Fortgeschritten""}"
566,Firstname,Name,"['Projekt 48', 'Projekt 49', 'Projekt 16']","['Projekt 34', 'Projekt 55']",Programmieren,"{""C"":""Fortgeschritten"",""C#"":""Anfänger"",""Java"":""Anfänger"",""HTML/CSS"":""Fortgeschritten"",""JavaScript"":""Experte"",""PHP"":""Anfänger""}"
567,Firstname,Name,"['Projekt 6', 'Projekt 23', 'Projekt 34']","['Projekt 19', 'Projekt 5']",Schreiben,"{""C"":""Anfänger"",""C++"":""Experte"",""Java"":""Anfänger"",""Python"":""Experte"",""JavaScript"":""Fortgeschritten"",""PHP"":""Fortgeschritten""}"
568,Firstname,Name,"['Projekt 31', 'Projekt 7', 'Projekt 54']","['Projekt 41', 'Projekt 8']",Programmieren,"{""C"":""Anfänger"",""C++"":""Anfänger"",""Java"":""Experte"",""HTML/CSS"":""Anfänger"",""Python"":""Fortgeschritten""}"
569,Firstname,Name,"['Projekt 44', 'Projekt 48', 'Projekt 12']","['Projekt 11', 'Projekt 18']",Programmieren,"{""C++"":""Fortgeschritten"",""Java"":""Anfänger"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Experte"",""JavaScript"":""Fortgeschritten"",""PHP"":""Fortgeschritten""}"
570,Firstname,Name,"['Projekt 59', 'Projekt 16', 'Projekt 35']","['Projekt 51', 'Projekt 28']",Programmieren,"{""C"":""Experte"",""C#"":""Experte"",""Java"":""Fortgeschritten"",""Python"":""Fortgeschritten"",""JavaScript"":""Experte"",""PHP"":""Anfänger""}"
571,Firstname,Name,"['Projekt 56', 'Projekt 53', 'Projekt 15']","['Projekt 14', 'Projekt 52']",Schreiben,"{""C"":""Experte"",""Python"":""Experte"",""JavaScript"":""Experte"",""PHP"":""Anfänger""}"
572,Firstname,Name,"['Projekt 4', 'Projekt 23', 'Projekt 3']","['Projekt 53', 'Projekt 55']",Programmieren,"{""C"":""Experte"",""C++"":""Fortgeschritten"",""C#"":""Anfänger"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Anfänger"",""JavaScript"":""Anfänger"",""PHP"":""Fortgeschritten""}"
573,Firstname,Name,"['Projekt 59', 'Projekt 5', 'Projekt 28']","['Projekt 48', 'Projekt 40']",Programmieren,"{""C"":""Experte"",""C++"":""Fortgeschritten"",""HTML/CSS"":""Fortgeschritten"",""Python"":""Experte"",""JavaScript"":""Anfänger"",""PHP"":""Experte""}"
574,Firstname,Name,"['Projekt 51', 'Projekt 4', 'Projekt 25']","['Projekt 34', 'Projekt 30']",Schreiben,"{""Java"":""Fortgeschritten"",""HTML/CSS"":""Anfänger"",""Python"":""Experte"",""JavaScript"":""Anfänger"",""PHP"":""Anfänger""}"
575,Firstname,Name,"['Projekt 11', 'Projekt 39', 'Projekt 29']","['Projekt 36', 'Projekt 37']",Programmieren,"{""C"":""Experte"",""C#"":""Anfänger"",""HTML/CSS"":""Anfänger""}"
